更新时间,#genre#
2024-11-22 06:28:50,url
📺央视频道,#genre#
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-1,http://183.94.146.109:2222/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-1,http://59.173.183.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$组播源|1920x1080
CCTV-1,http://110.177.146.152:888/rtp/239.1.1.7:8007$组播源|1920x1080
CCTV-1,http://www.lebaobei.top:6868/rtp/239.255.30.101:8231$组播源|1920x1080
CCTV-1,http://139.196.151.191:9338/rtp/239.45.3.145:5140$上海电信组播源
CCTV-1,http://123.56.129.203:8950/rtp/225.1.8.1:8008$北京电信组播源
CCTV-1,http://123.56.129.203:8950/rtp/225.1.8.101:8080$北京电信组播源
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-2,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-2,http://183.94.146.109:2222/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-2,http://220.249.114.102:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-2,http://139.196.151.191:9338/rtp/239.45.1.109:5140$上海电信组播源
CCTV-2,http://123.56.129.203:8950/rtp/225.1.8.2:8084$北京电信组播源
CCTV-2,http://123.56.129.203:8950/rtp/225.1.8.102:8004$北京电信组播源
CCTV-2,http://139.196.151.191:6846/rtp/239.45.1.109:5140$组播源
CCTV-2,http://139.196.151.191:9362/rtp/239.45.1.109:5140$上海电信组播源
CCTV-2,http://139.196.151.191:8841/rtp/239.45.1.109:5140$上海电信组播源
CCTV-3,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-3,http://183.94.146.109:2222/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-3,http://220.249.114.102:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-3,http://59.173.183.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-3,http://139.196.151.191:9338/rtp/239.45.1.68:5140$上海电信组播源
CCTV-3,http://123.56.129.203:8950/rtp/225.1.8.88:8000$北京电信组播源
CCTV-3,http://123.56.129.203:8950/rtp/225.1.8.92:8000$北京电信组播源
CCTV-3,http://139.196.151.191:6846/rtp/239.45.1.68:5140$组播源
CCTV-3,http://139.196.151.191:9362/rtp/239.45.1.68:5140$上海电信组播源
CCTV-3,http://139.196.151.191:8841/rtp/239.45.1.68:5140$上海电信组播源
CCTV-4,http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-4,http://183.94.146.109:2222/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-4,http://220.249.114.102:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-4,http://59.173.183.242:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-4,http://139.196.151.191:9338/rtp/239.45.0.2:5140$上海电信组播源
CCTV-4,http://123.56.129.203:8950/rtp/225.1.8.4:8092$北京电信组播源
CCTV-4,http://123.56.129.203:8950/rtp/225.1.8.104:8216$北京电信组播源
CCTV-4,http://139.196.151.191:6846/rtp/239.45.0.2:5140$组播源
CCTV-4,http://139.196.151.191:9362/rtp/239.45.0.2:5140$上海电信组播源
CCTV-4,http://139.196.151.191:8841/rtp/239.45.0.2:5140$上海电信组播源
